Common Name,KWT,Maximum Canopy Space,Primary ID,Scientific Name,Town / Parish
California redwood,0101000020110F00001FC147B0CBA200C149FFE5FD54C05941,>6m ≤12m Diameter,5390,Sequioa sempervirens,Oxford City Area (Unparished)
Worplesdon sweet gum,0101000020110F0000465EA7314AA900C1D193E4D793C05941,>12m Diameter,5388,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished)
Small-leaved lime,0101000020110F000036F77208F1A700C15BBD2CEA95C05941,>6m ≤12m Diameter,5387,Tilia cordata,Oxford City Area (Unparished)
Alder 'Imperialis',0101000020110F0000A6CEB3D05CAD00C142E69F94B5C05941,>6m ≤12m Diameter,5386,Alnus glutinosa 'Imperialis' ,Oxford City Area (Unparished)
Pedunculate oak 'Select',0101000020110F00009A32FA9B94AB00C12A6A8455B9C05941,>6m ≤12m Diameter,5383,Quercus robur 'Select',Oxford City Area (Unparished)
River Birch,0101000020110F000083E9C90D1AA700C1707E5CAAB6C05941,>6m ≤12m Diameter,5382,Betula nigra,Oxford City Area (Unparished)
Red Maple 'October Glory',0101000020110F0000E095E108A3A500C1354F78EC9BC05941,>6m ≤12m Diameter,5381,Acer rubrum 'October Glory',Oxford City Area (Unparished)
Japanese white birch 'Dakota Pinnacle',0101000020110F0000E9626184BB5200C190B421CDD7BE5941,≤6m Diameter,5373,Betula platyphylla 'Dakota Pinnacle' ,Blackbird Leys CP
Ulleung Island Rowan,0101000020110F0000B93260EE5B5200C156B7F72CCBBE5941,≤6m Diameter,5372,Sorbus commixta 'Olympic Flame',Blackbird Leys CP
Broad-leaved cockspur thorn,0101000020110F00009BA8D3B03C5C00C1936DBCB5A5BE5941,≤6m Diameter,5364,Crataegus persimilis 'Prunifolia Splendens',Blackbird Leys CP
Redbud 'Forest Pansy',0101000020110F00002804D6287F5D00C1020CFF2DA4BE5941,>6m ≤12m Diameter,5362,Cercis canadensis 'Forest Pansy',Blackbird Leys CP
Downy mespilus 'Robin Hill',0101000020110F00005163F08A3E5A00C159CF59C9A0BE5941,≤6m Diameter,5359,Amelanchier arborea 'Robin Hill',Blackbird Leys CP
Worplesdon sweet gum,0101000020110F000008AD382D595A01C16441B82220CB5941,>6m ≤12m Diameter,4823,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished)
Silver birch,0101000020110F0000C7BD808F88BE00C1AA92D9AA9DC35941,>6m ≤12m Diameter,4763,Betula pendula,Oxford City Area (Unparished)
